9	27	810	7290
7	3	92	622.152	177.165
8	3	92	638.236	196.419
0	3	93	652.561	129.886
1	3	93	668.783	142.19
2	3	93	684.095	130.687
3	3	93	652.584	156.209
4	3	93	668.974	152.442
5	3	93	684.329	155.947
6	3	93	652.5	196.405
7	3	93	668.561	177.161
8	3	93	683.618	195.205
0	3	94	698.453	129.149
1	3	94	715.733	142.189
2	3	94	730.052	131.507
3	3	94	698.695	156.441
4	3	94	716.237	152.45
5	3	94	730.532	155.684
6	3	94	697.838	197.646
7	3	94	715.054	177.159
8	3	94	729.222	193.951
0	3	95	744.288	128.37
1	3	95	762.738	142.191
2	3	95	776.163	132.304
3	3	95	744.796	156.65
4	3	95	763.481	152.447
5	3	95	776.872	155.482
6	3	95	743.282	198.891
7	3	95	761.552	177.161
8	3	95	774.78	192.685
0	3	96	514.625	178.509
1	3	96	528.038	188.787
2	3	96	546.485	174.401
3	3	96	513.763	202.27
4	3	96	527.248	199.649
5	3	96	545.85	203.309
6	3	96	515.754	238.057
7	3	96	529.067	222.885
8	3	96	547.352	244.084
0	3	97	560.669	177.671
1	3	97	574.969	188.793
2	3	97	592.3	175.237
3	3	97	560.176	202.471
4	3	97	574.466	199.658
5	3	97	591.946	203.111
6	3	97	561.415	239.259
7	3	97	575.547	222.882
8	3	97	592.712	242.876
0	3	98	606.625	176.844
1	3	98	621.871	188.783
2	3	98	638.174	176.052
3	3	98	606.432	202.647
4	3	98	621.691	199.644
5	3	98	638.121	202.86
6	3	98	607.024	240.446
7	3	98	622.124	222.889
8	3	98	638.229	241.676
0	3	99	652.561	176.061
1	3	99	668.77	188.788
2	3	99	684.058	176.847
3	3	99	652.591	202.865
4	3	99	668.971	199.654
5	3	99	684.329	202.658
6	3	99	652.505	241.676
7	3	99	668.58	222.895
8	3	99	683.648	240.464
0	3	100	698.425	175.236
1	3	100	715.686	188.79
2	3	100	729.972	177.669
3	3	100	698.695	203.107
4	3	100	716.235	199.648
5	3	100	730.53	202.469
6	3	100	697.885	242.872
7	3	100	715.113	222.893
8	3	100	729.279	239.264
0	3	101	744.216	174.409
1	3	101	762.658	188.785
2	3	101	776.055	178.515
3	3	101	744.795	203.301
4	3	101	763.481	199.657
5	3	101	776.874	202.272
6	3	101	743.36	244.075
7	3	101	761.624	222.886
8	3	101	774.874	238.076
0	3	102	514.718	224.707
1	3	102	528.123	235.441
2	3	102	546.555	220.431
3	3	102	513.762	249.155
4	3	102	527.25	246.967
5	3	102	545.846	249.986
6	3	102	515.663	283.495
7	3	102	528.947	268.758
8	3	102	547.292	289.436
0	3	103	560.727	223.879
1	3	103	575.027	235.432
2	3	103	592.33	221.329
3	3	103	560.171	249.317
4	3	103	574.464	246.965
5	3	103	591.94	249.788
6	3	103	561.365	284.672
7	3	103	575.495	268.76
8	3	103	592.673	288.248
0	3	104	606.656	223.02
1	3	104	621.901	235.438
2	3	104	638.18	222.199
3	3	104	606.422	249.453
4	3	104	621.694	246.955
5	3	104	638.123	249.626
6	3	104	607.001	285.917
7	3	104	622.114	268.761
8	3	104	638.23	287.08
0	3	105	652.545	222.192
1	3	105	668.74	235.434
2	3	105	684.019	223.02
3	3	105	652.581	249.613
4	3	105	668.973	246.958
5	3	105	684.324	249.451
6	3	105	652.499	287.064
7	3	105	668.587	268.76
8	3	105	683.66	285.922
0	3	106	698.391	221.332
1	3	106	715.64	235.435
2	3	106	729.896	223.884
3	3	106	698.692	249.781
4	3	106	716.234	246.97
5	3	106	730.524	249.315
6	3	106	697.934	288.235
7	3	106	715.181	268.765
8	3	106	729.34	284.684
0	3	107	744.135	220.435
1	3	107	762.588	235.434
2	3	107	775.921	224.708
3	3	107	744.793	249.973
4	3	107	763.479	246.962
5	3	107	776.879	249.16
6	3	107	743.426	289.421
7	3	107	761.703	268.757
8	3	107	774.992	283.503
0	3	108	514.814	270.801
1	3	108	528.206	281.957
2	3	108	546.622	266.397
3	3	108	513.767	295.921
4	3	108	527.244	294.239
5	3	108	545.846	296.575
6	3	108	515.57	329.009
7	3	108	528.856	314.639
8	3	108	547.226	334.716
0	3	109	560.797	269.924
1	3	109	575.087	281.968
2	3	109	592.374	267.319
3	3	109	560.178	296.093
4	3	109	574.471	294.241
5	3	109	591.955	296.476
6	3	109	561.321	330.233
7	3	109	575.447	314.646
8	3	109	592.632	333.617
0	3	110	606.677	269.112
1	3	110	621.93	281.967
2	3	110	638.178	268.171
3	3	110	606.43	296.231
4	3	110	621.687	294.234
5	3	110	638.111	296.364
